OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;NOTES
1;Belgium;Belwind Alstom Haliade Demonstration;1;6;Production;2013;43900,77701; 
2;Germany;AquaPrimus;;28;Planned;;5263,970474; 
3;Germany;Arcadis Ost 1;27;256,5;Construction;;20295,04234; 
4;Germany;Arkona;60;384;Production;2019;37283,47711; 
5;Germany;Baltic Eagle;83;476;Approved;;31161,49326; 
6;Germany;Breitling;1;2,5;Production;2006;358,7922517; 
7;Germany;Emden Offshore;1;4,5;Production;2004;378,400967; 
8;Germany;EnBW Baltic 1;21;48,3;Production;2011;13507,52265; 
9;Germany;EnBW Baltic 2;80;288;Production;2015;36849,46727; 
10;Germany;Gennaker;103;865,2;Approved;;14212,01871; 
11;Germany;Gicon SOF;1;8;Planned;;54101,36269; 
12;Germany;Gicon SOF;1;2,3;Approved;;54101,36269; 
13;Germany;Hooksiel;1;5;Dismantled;2008;758,4019571;2016
14;Germany;Wikinger Offshore;70;350;Production;2017;38945,14245; 
15;Germany;Wikinger S;;10;Approved;;40204,86591; 
16;Denmark;Vindeby-Lolland;11;4,95;Dismantled;1991;1676,312857;2017
17;Estonia;Area 1 - Eesti Energia;;1005;Planned;;12277,07761; 
18;Estonia;Area 2 - Eesti Energia;;1005;Planned;;13651,72717; 
19;Estonia;Liivi Iaht;;960;Planned;;13628,2809; 
20;Estonia;Loode-Eesti Meretuulepark;200;1100;Planned;;8027,171153; 
21;Estonia;Nasva Offshore;;;Planned;;984,0870188; 
22;Estonia;Neugrund;38;234;Planned;;8226,240285; 
23;Estonia;Ohaka Energia;;450;Planned;;14298,49732; 
24;Estonia;Roheline Elekter;;;Planned;;14288,2769; 
25;Estonia;Saare;100;600;Planned;;17436,67701; 
26;Estonia;Saare Liivi 1;;1200;Planned;;23043,67636; 
27;Estonia;Saare Liivi 2;;1200;Planned;;19551,2175; 
28;Estonia;Saare Liivi 3;;1200;Planned;;18002,21338; 
29;Estonia;Saare Liivi 4;;1200;Planned;;22587,6116; 
30;Estonia;Ssrve;;1200;Planned;;17087,59829; 
31;Estonia;Ssrve 2;;1200;Planned;;15059,82755; 
32;Estonia;Sunly SW1;;84;Planned;;19392,69232; 
33;Estonia;Sunly SW10;;72;Planned;;25851,33145; 
34;Estonia;Sunly SW2;;114;Planned;;15080,9391; 
35;Estonia;Sunly SW3;;144;Planned;;15706,99356; 
36;Estonia;Sunly SW4;;132;Planned;;11615,19806; 
37;Estonia;Sunly SW5;;84;Planned;;11157,10637; 
38;Estonia;Sunly SW6;;492;Planned;;13029,02031; 
39;Estonia;Sunly SW7;;252;Planned;;20115,39812; 
40;Estonia;Sunly SW8;;120;Planned;;25473,22234; 
41;Estonia;Sunly SW9;;120;Planned;;32967,48894; 
42;Estonia;Tuuletraal;;1050;Planned;;31280,16435; 
43;Estonia;Uttilias;;5980;Planned;;11052,22018; 
44;Spain;Alisio Offshore;;49,9;Planned;;3959,873127; 
45;Spain;Atlantida;;300;Planned;;9433,525535; 
46;Spain;Cabildo;;49,9;Planned;;5149,766499; 
47;Spain;CanArray II;;132;Planned;;6053,231409; 
48;Spain;CARDON;;50;Planned;;11214,22594; 
49;Spain;Colombino;;49,9;Planned;;4623,878751; 
50;Spain;DUNAS;;50;Planned;;8376,031338; 
51;Spain;Elican;1;5;Production;2018;3211,174072; 
52;Spain;Esdras Canarias;;10;Planned;;3204,287981; 
53;Spain;Floating Power Plant - PLOCAN;;8;Approved;;4643,189864; 
54;Spain;Flocan 5;5;25;Planned;;6224,221359; 
55;Spain;FOWCA;;225;Planned;;9832,741347; 
56;Spain;Gamesa 5MW Test Turbine;1;4,5;Test site;2013;22,36593438; 
57;Spain;GEROA;;45;Planned;;9344,529923; 
58;Spain;GOFIO;;50;Planned;;6469,002336; 
59;Spain;Gran Canaria Este;;144;Planned;;8348,946905; 
60;Spain;GUANCHE;;50;Planned;;7332,08511; 
61;Spain;Lanzarote Este;;50;Planned;;4146,672463; 
62;Spain;MOJO;;50;Planned;;9653,714084; 
63;Spain;Musica 4;;;Planned;;4560,567976; 
64;Spain;Nautilus (ES);;2;Planned;;16461,40101; 
65;Spain;Pivot Buoy - PLOCAN;;0,22;Construction;;2796,178625; 
66;Spain;Plocan;5;50;Production;2017;3211,174072; 
67;Spain;Sahariano;;49,9;Planned;;4137,384509; 
68;Spain;San Borond;;238;Planned;;5579,290492; 
69;Spain;San Brandan;;490;Planned;;21519,80191; 
70;Spain;San Cibrao;;490;Planned;;20072,03874; 
71;Spain;Talasa;;50;Planned;;7332,08511; 
72;Spain;Tramuntana Phase 1;;450;Planned;;15165,27781; 
73;Spain;Tramuntana Phase 2;;600;Planned;;16706,10099; 
74;Finland;Ajos 1;1;3;Dismantled;2005;14,59668308;2016
75;Finland;Ajos 2-3;2;6;Dismantled;2008;617,8415592;2016
76;Finland;Ajos 4;1;3;Dismantled;2008;53,04014984;2016
77;Finland;Ajos 5;1;3;Dismantled;2007;627,5147217;2016
78;Finland;Ajos 6-7;2;6;Dismantled;2008;53,04014984;2016
79;Finland;Ajos 8-9-10-11;4;12;Dismantled;2008;53,04014984;2016
80;Finland;Ajos Repowering;8;26,4;Production;2017;630,2864016; 
81;Finland;Inkoo;60;300;Planned;;4411,254665; 
82;Finland;Kemi Ajos III;;189;Planned;;1272,295508; 
83;Finland;Korsnns - Forststyrelsen;;;Planned;;15298,49182; 
84;Finland;Pori Offshore 1;1;2,3;Production;2010;918,3750599; 
85;Finland;Pori-Tahkoluoto Extension;;;Planned;;4409,467396; 
86;Finland;Pori-Tahkoluoto;10;42;Production;2017;5511,385051; 
87;Finland;Raahe Maanahkiaisen;70;350;Planned;;8449,569077; 
88;Finland;Raahe Pertunmatala;24;72;Planned;;7455,991538; 
89;Finland;Riyttn III;14;70;Planned;;1145,286076; 
90;Finland;Siipyyn;80;400;Planned;;9014,790725; 
91;Finland;Ulkonahkiainen;70;210;Planned;;17882,33654; 
92;France;AFLOWT;;6;Planned;;5500,835013; 
93;France;Dunkerque Offshore;;598;Planned;;10377,5464; 
94;France;Eolink Demonstrateur;;5;Approved;;10339,6517; 
95;France;Eolink Prototype;1;0,2;Dismantled;2018;406,0453311; 
96;France;FLOATGEN Demonstrator 1  IDEOL Gamesa;1;2;Production;2018;10604,74102; 
97;France;Golfe du Lion;5;30;Approved;;18817,98393; 
98;France;Gruissan;;30;Approved;;20197,40111; 
99;France;Ideol & Quadran Floating Project;;500;Planned;;27892,70008; 
100;France;Mistral;;10;Approved;;4899,105021; 
101;France;Provence Grand Large;;25,2;Approved;;16766,3112; 
102;France;SEM-REV;;8;Production;2015;10400,68077; 
103;United Kingdom;Aspen;;1500;Planned;;62514,20181; 
104;United Kingdom;Beatrice Demonstration;2;10;Dismantled;2007;25483,24526;2016
105;United Kingdom;Beech;;1500;Planned;;143381,4843; 
106;United Kingdom;Cenos;;1500;Planned;;136577,1972; 
107;United Kingdom;Dolphyn (commercial);;300;Planned;;24726,4026; 
108;United Kingdom;Dolphyn (full scale);;4000;Planned;;23149,11574; 
109;United Kingdom;Dolphyn (precommercial);;10;Planned;;16774,37424; 
110;United Kingdom;Draig Y Mnr;;100;Planned;;11892,96284; 
111;United Kingdom;Erebus (commercial);;600;Planned;;41129,02832; 
112;United Kingdom;Forthwind Offshore Wind Demonstration Project - 1;2;12;Approved;;1994,279213; 
113;United Kingdom;Forthwind Offshore Wind Demonstration Project - 2;7;53;Planned;;3147,548098; 
114;United Kingdom;Llyr 1;;100;Planned;;41039,12644; 
115;United Kingdom;Llyr 2;;100;Planned;;34555,94393; 
116;United Kingdom;Marr Bank;;1850;Planned;;49776,93861; 
117;United Kingdom;Mona;;1500;Planned;;41701,27464; 
118;United Kingdom;Morecambe;;480;Planned;;36214,65946; 
119;United Kingdom;Morgan;;1500;Planned;;33734,47729; 
120;United Kingdom;Outer Dowsing;;1500;Planned;;68862,37899; 
121;United Kingdom;Race Bank Extension;;573;Planned;;32695,29597; 
122;United Kingdom;Rampion Extension;;400;Planned;;17932,6769; 
123;United Kingdom;Salamander;;200;Planned;;43137,60052; 
124;United Kingdom;Shearwater One;;3000;Planned;;24266,71724; 
125;United Kingdom;Valorous;;300;Planned;;47318,6796; 
126;United Kingdom;Whitecross;;100;Planned;;31697,64223; 
127;Greece;Corfu;45;162;Planned;;1553,560861; 
128;Greece;Diapontia Wind phase Five;4;20;Planned;;910,6565296; 
129;Greece;Diapontia Wind phase Nine;6;30;Planned;;4909,969733; 
130;Greece;Diapontia Wind phase Seven;3;15;Planned;;4125,546608; 
131;Greece;Diapontia Wind phase Six;4;20;Planned;;1494,483331; 
132;Greece;DWI Peloponese;;86,4;Planned;;8669,292684; 
133;Greece;Mathraki;55;275;Planned;;4641,141251; 
134;Greece;Musica 1;;;Planned;;2751,752447; 
135;Greece;Musica 2;;;Planned;;4009,577221; 
136;Greece;Othonoi;44;275;Planned;;1730,332351; 
137;Greece;Thrakiki Aioliki 6;;24;Planned;;3029,678313; 
138;Greece;Thrakiki Aioliki 4;;24;Planned;;1924,170218; 
139;Greece;Thrakiki Aioliki 1;;24;Planned;;1711,239098; 
140;Greece;Thrakiki Aioliki 5;;24;Planned;;2228,273086; 
141;Greece;Thrakiki Aioliki 2;;24;Planned;;1120,366528; 
142;Greece;Thrakiki Aioliki 3;;24;Planned;;1214,251514; 
143;Greece;Thrakiki Aioliki 9;;24;Planned;;2868,281717; 
144;Greece;Thrakiki Aioliki 8;;24;Planned;;2472,113007; 
145;Greece;Thrakiki Aioliki 7;;24;Planned;;1918,792909; 
146;Ireland;Aniar Offshore Array Phase 1;;500;Planned;;12758,76014; 
147;Ireland;Aniar Offshore Array Phase 2;;500;Planned;;19210,47663; 
148;Ireland;Arklow Bank Phase 1;7;25,2;Production;2003;10597,8524; 
149;Ireland;Arklow Bank Phase 2;100;1000;Planned;;9001,615983; 
150;Ireland;Atlantic Marine Energy Test Site;;10;Test site;;10314,88811; 
151;Ireland;Blackwater;;1500;Planned;;34688,58512; 
152;Ireland;Cailleach;;1600;Planned;;11667,73528; 
153;Ireland;Clarus;;1000;Planned;;27917,57028; 
154;Ireland;Clogher Head;;500;Planned;;11941,59839; 
155;Ireland;Codling;;1500;Planned;;17188,81238; 
156;Ireland;Cooley Point;;500;Planned;;18384,02881; 
157;Ireland;Dublin Array;;1000;Planned;;11546,38484; 
158;Ireland;Emerald - Commercial;;700;Planned;;41647,6605; 
159;Ireland;Emerald - Demonstration;;300;Planned;;41647,6605; 
160;Ireland;Galway Bay Marine and Renewable Energy Test Site;3;;Test site;2006;1551,126903; 
161;Ireland;Greystones;;1000;Planned;;24171,78649; 
162;Ireland;Ilen;;1100;Planned;;21799,68838; 
163;Ireland;Kilmichael Point;;500;Planned;;14151,45075; 
164;Ireland;Latitude 52;;1000;Planned;;19402,09475; 
165;Ireland;Moneypoint Offshore One;;400;Planned;;20416,31856; 
166;Ireland;Moneypoint Offshore Two;;1100;Planned;;38973,07209; 
167;Ireland;North Celtic Sea;;1000;Planned;;14730,8843; 
168;Ireland;North Irish Sea;;530;Planned;;8772,654355; 
169;Ireland;Oriel Wind Farm;55;330;Planned;;8620,52524; 
170;Ireland;Shelmalere;;1000;Planned;;17654,75513; 
171;Ireland;Skerd Rocks;;400;Planned;;3552,90779; 
172;Ireland;South Irish Sea;;1330;Planned;;18057,62028; 
173;Italy;Canale di Sicilia;;250;Planned;;34160,04525; 
174;Italy;Canale di Sicilia;;2800;Planned;;53379,39877; 
175;Italy;Golfo di Manfredonia;50;165;Planned;;19900,75215; 
176;Italy;Marche 1;;500;Planned;;11592,56203; 
177;Italy;Rimini;;330;Planned;;15825,35907; 
178;Italy;Rimini 4Power;;40;Planned;;2991,761515; 
179;Italy;Sardegna Sud Occidentale;;504;Planned;;40225,21344; 
180;Italy;Taranto Offshore;10;30;Construction;;1330,680126; 
181;Italy;Veneto 1;;500;Planned;;21020,94931; 
182;Lithuania;Lithuanian Tender 1;;700;Planned;;36262,42833; 
183;Lithuania;Lithuanian Tender 2;;700;Planned;;48868,5823; 
184;Netherlands;Irene Vorrink I;19;11,4;Production;1996;6875,12849; 
185;Netherlands;Irene Vorrink II;9;5,4;Production;1997;6875,12849; 
186;Netherlands;Lely;4;2;Dismantled;1997;15813,80547;2016
187;Netherlands;Westermeerdijk buitendijks;48;144;Production;2016;6769,24356; 
188;Netherlands;Windpark Frysl n;89;382,7;Construction;;4100,121942; 
189;Netherlands;Windplanblauw;;112;Approved;;6714,939265; 
190;Norway;Flagship - Metcentre;;10;Approved;;9225,51976; 
191;Norway;Hywind Metcentre;1;2,3;Production;2009;8167,630057; 
192;Norway;Hywind Tampen;11;88;Approved;;100489,0735; 
193;Norway;Marine Energy Test Centre Karmoy Floating;2;10;Test site;2019;5360,022566; 
194;Norway;Marine Energy Test Centre Karmoy Fixed;2;10;Test site;2019;5360,022566; 
195;Norway;SeaTwirl S2;1;1;Planned;;374,2737102; 
196;Norway;Sorlige Nordsjo II Phase 1;;1000;Planned;;176650,0102; 
197;Norway;Sorlige Nordsjo II Phase 2;;1000;Planned;;176650,0102; 
198;Norway;Sorlige Nordsjo II Phase 3;;1000;Planned;;176650,0102; 
199;Norway;TetraSpar Demonstrator;;3,6;Construction;;9479,077309; 
200;Norway;Utsira Nord Phase 1;;500;Planned;;17405,88276; 
201;Norway;Utsira Nord Phase 2;;500;Planned;;17405,88276; 
202;Norway;Utsira Nord Phase 3;;500;Planned;;17405,88276; 
203;Poland;A-Wind;90;450;Planned;;25390,21699; 
204;Poland;Baltex 2;;560;Planned;;49142,35112; 
205;Poland;Baltex 4;;;Planned;;28448,42191; 
206;Poland;Baltex 5;;880;Planned;;78407,17175; 
207;Poland;Baltic Power;;1200;Planned;;28426,90698; 
208;Poland;Baltica 1;;900;Planned;;68610,91383; 
209;Poland;Baltica 2;;1498;Planned;;38842,06607; 
210;Poland;Baltica 3;;1045,5;Planned;;33058,53381; 
211;Poland;Baltyk I Phase 1;190;1140;Planned;;51081,33172; 
212;Poland;Baltyk I Phase 2;70;420;Planned;;57895,82734; 
213;Poland;Baltyk II;;720;Planned;;38794,62712; 
214;Poland;Baltyk III;;720;Planned;;26496,00776; 
215;Poland;B-Wind;;200;Planned;;25173,27464; 
216;Poland;C-Wind;;200;Planned;;27729,06227; 
217;Poland;FEW Baltic II;;350;Planned;;30662,33922; 
218;Poland;MEP EAST 2;;;Planned;;46598,52891; 
219;Poland;MEP North;;;Planned;;36900,8084; 
220;Poland;NEPTUN;;;Planned;;29979,64131; 
221;Poland;Pomorze II;;611;Planned;;43443,51578; 
222;Poland;Pomorze III;;611;Planned;;39428,09351; 
223;Poland;Sea Wind Kliwer;;;Planned;;48170,00556; 
224;Poland;Sharco I;;383;Planned;;32870,86204; 
225;Poland;Sharco II;;383;Planned;;32750,50137; 
226;Portugal;Offshore Island Porto Santo;;10;Planned;;4065,208957; 
227;Portugal;WindFloat Atlantic;3;25;Production;2020;11992,72087; 
228;Portugal;WindFloat Atlantic 2;30;125;Planned;;22863,79359; 
229;Portugal;WindFloat Prototype;1;2;Dismantled;2012;6019,182706;2016
230;Sweden;Anemone;;;Planned;;16577,95363; 
231;Sweden;Aurora Offshore;;5500;Planned;;1756,814155; 
232;Sweden;Bockstigen Offshore;5;2,75;Production;1998;2355,566195; 
233;Sweden;Eystrasalt;;4000;Planned;;70957,34128; 
234;Sweden;Fwllbadan;;;Planned;;56975,24809; 
235;Sweden;Fyrskeppet;;2000;Planned;;63187,18728; 
236;Sweden;Galatea-Galene;;1250;Planned;;23454,8007; 
237;Sweden;Gretas Klackar;;;Planned;;13678,31724; 
238;Sweden;Gretas Klackar II;;;Planned;;13678,31724; 
239;Sweden;Gustav Dahlkn 1;;;Planned;;1165,991719; 
240;Sweden;Gustav Dahlkn 2;;;Planned;;7269,299378; 
241;Sweden;Karehamn;16;48;Production;2013;5343,596212; 
242;Sweden;Kattegatt Syd;;1200;Planned;;22000,3367; 
243;Sweden;Kriegers Flak II;128;640;Approved;;32450,02493; 
244;Sweden;Langgrund;;;Planned;;5268,066397; 
245;Sweden;Langgrund II;;;Planned;;8452,403247; 
246;Sweden;Lillgrund;15;34,5;Production;2007;7813,543454; 
247;Sweden;Lillgrund;21;48,3;Production;2007;7813,543454; 
248;Sweden;Lillgrund;12;27,6;Production;2007;7813,543454; 
249;Sweden;Njord;;;Planned;;1756,814155; 
250;Sweden;Nogersund;1;0,22;Dismantled;1990;269,1342877;2008
251;Sweden;Norra Klasgrunden;;;Planned;;2976,365199; 
252;Sweden;Oskarshamn;;400;Planned;;1818,463925; 
253;Sweden;Poseidon Nord;;800;Planned;;28341,56953; 
254;Sweden;Poseidon Syd;;200;Planned;;23074,41712; 
255;Sweden;Rata Storgrund - phase 1;;;Planned;;9613,178472; 
256;Sweden;Rata Storgrund - phase 2;;;Planned;;6861,302471; 
257;Sweden;SeaTwirl 3MW;1;3;Dismantled;2011;3153,881745;2019
258;Sweden;Skane North;;;Planned;;10730,1351; 
259;Sweden;Swdra Klasgrunden;;;Planned;;3699,636009; 
260;Sweden;Swdra Midsjrbanken;;1600;Planned;;61487,91321; 
261;Sweden;Sotenns Offshore Park;;10;Approved;;2895,272704; 
262;Sweden;Stenkalles grund;;100;Approved;;108448,7926; 
263;Sweden;Storgrundet;;1020;Planned;;9687,378715; 
264;Sweden;Svenska Bjtrn;;;Planned;;14080,6469; 
265;Sweden;Sydkustens Vind;;500;Planned;;10537,19487; 
266;Sweden;Sylen;;;Planned;;59167,41648; 
267;Sweden;Triton;;;Planned;;20011,89629; 
268;Sweden;Utgrunden I;7;10,5;Dismantled;2000;7765,087598;2018
269;Sweden;Utknallen;;;Planned;;21348,23904; 
270;Sweden;Utposten;;260;Planned;;5490,851425; 
271;Sweden;Utposten II;;;Planned;;10856,71597; 
272;Sweden;Vwnern;7;21;Production;2009;113427,7349; 
273;Sweden;Vwnern;3;9;Production;2009;113427,7349; 
274;Sweden;Yttre Stengrund 1;1;2;Dismantled;2001;3246,738742;2015
275;Sweden;Yttre Stengrund 2-3-4;3;6;Dismantled;2001;3246,738742;2015
276;Sweden;Yttre Stengrund 5;1;2;Dismantled;2001;3246,738742;2015
